#t:   	x:        	y:        	z:        
5.200	-0.00186157	-0.00598145	0.00000000
5.225	-0.00201416	-0.00585938	0.00103760
5.250	-0.00155640	-0.00585938	0.00070190
5.275	-0.00122070	-0.00851440	0.00064087
5.300	-0.00241089	-0.01080322	0.00091553
5.325	-0.00320435	-0.01129150	0.00112915
5.350	-0.00305176	-0.01049805	0.00106812
5.375	-0.00256348	-0.00869751	0.00128174
5.400	-0.00250244	-0.00677490	0.00042725
5.425	-0.00201416	-0.00573730	0.00057983
5.450	-0.00183105	-0.00460815	0.00054932
5.475	-0.00122070	-0.00595093	0.00088501
5.500	-0.00143433	-0.00872803	0.00009155
5.525	-0.00259399	-0.01144409	0.00109863
5.550	-0.00332642	-0.01129150	0.00131226
5.575	-0.00305176	-0.01031494	0.00064087
5.600	-0.00305176	-0.00827026	0.00125122
5.625	-0.00241089	-0.00656128	0.00109863
5.650	-0.00207520	-0.00491333	0.00015259
5.675	-0.00173950	-0.00579834	0.00036621
5.700	-0.00161743	-0.00488281	0.00085449
5.725	-0.00079346	-0.01052856	0.00003052
5.750	-0.00277710	-0.01202393	0.00097656
5.775	-0.00381470	-0.01113892	0.00140381
5.800	-0.00329590	-0.01049805	0.00064087
5.825	-0.00283813	-0.00750732	0.00076294
5.850	-0.00219727	-0.00534058	0.00067139
5.875	-0.00192261	-0.00488281	0.00015259
5.900	-0.00167847	-0.00625610	0.00030518
5.925	-0.00167847	-0.00860596	0.00000000
5.950	-0.00207520	-0.00415039	0.00125122
5.975	-0.00207520	-0.01184082	0.00076294
6.000	-0.00317383	-0.01181030	0.00051880
6.025	-0.00347900	-0.00991821	0.00091553
6.050	-0.00308228	-0.00781250	0.00076294
6.075	-0.00238037	-0.00564575	0.00061035
6.100	-0.00198364	-0.00543213	0.00018311
6.125	-0.00173950	-0.00634766	0.00012207
6.150	-0.00173950	-0.00854492	0.00006104
6.175	-0.00204468	0.00039673	0.00231934
6.200	-0.00125122	-0.01168823	0.00045776
6.225	-0.00335693	-0.01214600	0.00131226
6.250	-0.00360107	-0.01092529	0.00115967
6.275	-0.00302124	-0.00891113	0.00033569
6.300	-0.00247192	-0.00717163	0.00119019
6.325	-0.00170898	-0.00485229	-0.00003052
6.350	-0.00155640	-0.00531006	0.00036621
6.375	-0.00149536	-0.00741577	0.00024414
6.400	-0.00122070	-0.00350952	0.00100708
6.425	-0.00195312	-0.01062012	0.00051880
6.450	-0.00354004	-0.01208496	0.00167847
6.475	-0.00384521	-0.01144409	0.00112915
6.500	-0.00302124	-0.00936890	0.00158691
6.525	-0.00228882	-0.00765991	0.00048828
